q_group,locality_bin,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
all,far> 0.15,stale,Stale,1416,3.2293437025650937,5.9414411397514915,0.0,0.24152542372881355,0.0
all,far> 0.15,proj_stale,ISOMER/ISOMER,1416,1.85309690190546,2.737634804704366,42.616919331518346,0.0,1.0
all,far> 0.15,oasis_no_proj,OASIS-noProj,1416,1.5857223463864911,1.7886375758826918,50.896451649697774,0.5522598870056498,0.0
all,far> 0.15,proj_oasis,OASIS,1416,1.4159031015675803,1.5051996154683254,56.155081899677725,0.6391242937853108,0.0
all,far> 0.15,proj_fresh,Fresh-init,1416,1.1034893224857538,1.1122437028648626,65.82930080780056,0.903954802259887,0.0
all,far> 0.15,fresh,Fresh,1416,1.0,1.0,69.03395574755045,1.0,0.0
all,far> 0.15,stholes_no_proj,STHoles (raw),1416,1.8908864887398702,2.7384925742960307,41.44672531332221,0.4682203389830508,0.0
all,far> 0.15,proj_stholes,STHoles-init,1416,1.6940361170516753,2.325415852729159,47.54240263413,0.6398305084745762,0.0
all,far> 0.15,quicksel_no_proj,QuickSel-H (raw),1416,1.7810901440336335,2.2636411591326797,44.84668378225275,0.5346045197740112,0.0
all,far> 0.15,proj_quicksel,QuickSel-init,1416,1.5767045865551583,1.9563553141542438,51.175695999692785,0.6454802259887006,0.0
all,mid<= 0.15,stale,Stale,2721,2.539522394378015,4.277384662022077,0.0,0.2326350606394708,0.0
all,mid<= 0.15,proj_stale,ISOMER/ISOMER,2721,1.5375162994281493,1.8887116386415677,39.45647800421461,0.0,1.0
all,mid<= 0.15,oasis_no_proj,OASIS-noProj,2721,1.5067328717773878,1.6937818951061836,40.66865190427195,0.4726203601617053,0.0
all,mid<= 0.15,proj_oasis,OASIS,2721,1.3477972822678341,1.490766332814369,46.927135383740556,0.5997794928335171,0.0
all,mid<= 0.15,proj_fresh,Fresh-init,2721,1.1492804257343439,1.1936269598825597,54.74422953392274,0.8180815876515987,0.0
all,mid<= 0.15,fresh,Fresh,2721,1.0,1.0,60.622516965639036,1.0,0.0
all,mid<= 0.15,stholes_no_proj,STHoles (raw),2721,1.6064866723583593,1.9963404255805675,36.74059831428172,0.4685777287761852,0.0
all,mid<= 0.15,proj_stholes,STHoles-init,2721,1.451668555778804,1.7580561142852962,42.83694607330487,0.631385520029401,0.0
all,mid<= 0.15,quicksel_no_proj,QuickSel-H (raw),2721,1.5792257676048143,1.83579589363923,37.81406412871577,0.47739801543550164,0.0
all,mid<= 0.15,proj_quicksel,QuickSel-init,2721,1.4078627733313187,1.608239981444772,44.56190752843764,0.6207276736493936,0.0
all,near<= 0.05,stale,Stale,4055,2.2197929475026634,3.376575694847147,0.0,0.22392108508014796,0.0
all,near<= 0.05,proj_stale,ISOMER/ISOMER,4055,1.4505337136929128,1.730402029583286,34.65454896030692,0.0,1.0
all,near<= 0.05,oasis_no_proj,OASIS-noProj,4055,1.4235437088621707,1.5600478780313014,35.870428344963344,0.4683107274969174,0.0
all,near<= 0.05,proj_oasis,OASIS,4055,1.3292501188235348,1.4674486864522946,40.11828353995886,0.629593094944513,0.0
all,near<= 0.05,proj_fresh,Fresh-init,4055,1.205761893390701,1.304905105896428,45.6813350656321,0.7580764488286067,0.0
all,near<= 0.05,fresh,Fresh,4055,1.0,1.0,54.950753351792045,1.0,0.0
all,near<= 0.05,stholes_no_proj,STHoles (raw),4055,1.493097588598513,1.745077951717906,32.737078461381074,0.4350184956843403,0.0
all,near<= 0.05,proj_stholes,STHoles-init,4055,1.3944217946532251,1.616797118601162,37.18234864103009,0.619482120838471,0.0
all,near<= 0.05,quicksel_no_proj,QuickSel-H (raw),4055,1.562322253592559,1.7973498191026005,29.618559453924725,0.3906288532675709,0.0
all,near<= 0.05,proj_quicksel,QuickSel-init,4055,1.3781110887963912,1.550055778258757,37.917133652180965,0.591861898890259,0.0
q=1,far> 0.15,stale,Stale,82,1.234918492267934,1.296888043536899,0.0,0.2682926829268293,0.0
q=1,far> 0.15,proj_stale,ISOMER/ISOMER,82,1.15740167822067,1.1821841301937093,6.277079380753619,0.0,1.0
q=1,far> 0.15,oasis_no_proj,OASIS-noProj,82,1.4203645977279076,1.4786788043657009,-15.016870070461163,0.21951219512195122,0.0
q=1,far> 0.15,proj_oasis,OASIS,82,1.2883679402016928,1.3201346127699263,-4.328176172631333,0.4146341463414634,0.0
q=1,far> 0.15,proj_fresh,Fresh-init,82,1.0720788626499618,1.0746065943763579,13.186265380067017,0.5121951219512195,0.0
q=1,far> 0.15,fresh,Fresh,82,1.0,1.0,19.022995747395843,1.0,0.0
q=1,far> 0.15,stholes_no_proj,STHoles (raw),82,1.1618419385929584,1.2095596398054533,5.917520397704152,0.47560975609756095,0.0
q=1,far> 0.15,proj_stholes,STHoles-init,82,1.1613158239310597,1.1952037937132414,5.960123586918078,0.4146341463414634,0.0
q=1,far> 0.15,quicksel_no_proj,QuickSel-H (raw),82,1.2332631205621225,1.2955292761444572,0.13404704166113243,0.3780487804878049,0.0
q=1,far> 0.15,proj_quicksel,QuickSel-init,82,1.1782557835934226,1.2092438168826203,4.58837640129997,0.43902439024390244,0.0
q=1,mid<= 0.15,stale,Stale,337,1.173969641260207,1.1936781102981369,0.0,0.2997032640949555,0.0
q=1,mid<= 0.15,proj_stale,ISOMER/ISOMER,337,1.117979602351243,1.1284201905622069,4.769291891471834,0.0,1.0
q=1,mid<= 0.15,oasis_no_proj,OASIS-noProj,337,1.240758319701915,1.2764768115516356,-5.689131651650988,0.27299703264094954,0.0
q=1,mid<= 0.15,proj_oasis,OASIS,337,1.15053776612325,1.1672590463959178,1.9959523920741042,0.4094955489614243,0.0
q=1,mid<= 0.15,proj_fresh,Fresh-init,337,1.0874124631068551,1.092589452732066,7.3730337745732815,0.6083086053412463,0.0
q=1,mid<= 0.15,fresh,Fresh,337,1.0,1.0,14.818921643787814,1.0,0.0
q=1,mid<= 0.15,stholes_no_proj,STHoles (raw),337,1.1132557906456617,1.121539489104305,5.171671266504941,0.5074183976261127,0.0
q=1,mid<= 0.15,proj_stholes,STHoles-init,337,1.1180517109239785,1.1321717996147171,4.763149605487494,0.5548961424332344,0.0
q=1,mid<= 0.15,quicksel_no_proj,QuickSel-H (raw),337,1.1503743371370168,1.1621553971914875,2.0098734493561228,0.4094955489614243,0.0
q=1,mid<= 0.15,proj_quicksel,QuickSel-init,337,1.1245124085360876,1.1354854204835079,4.212820415954636,0.4836795252225519,0.0
q=1,near<= 0.05,stale,Stale,605,1.2566000164882276,1.3233023468127068,0.0,0.31735537190082647,0.0
q=1,near<= 0.05,proj_stale,ISOMER/ISOMER,605,1.156335866207374,1.1848897758923078,7.97900278252885,0.0,1.0
q=1,near<= 0.05,oasis_no_proj,OASIS-noProj,605,1.2255417338879007,1.2729060967952055,2.4716124616267594,0.31239669421487604,0.0
q=1,near<= 0.05,proj_oasis,OASIS,605,1.201616950816026,1.2464561468760949,4.37554233254435,0.45950413223140496,0.0
q=1,near<= 0.05,proj_fresh,Fresh-init,605,1.1384657812750216,1.1641327695664268,9.401100880401964,0.5338842975206611,0.0
q=1,near<= 0.05,fresh,Fresh,605,1.0,1.0,20.4201824861771,1.0,0.0
q=1,near<= 0.05,stholes_no_proj,STHoles (raw),605,1.1405849703231665,1.1590463254081351,9.232456202673301,0.47768595041322315,0.0
q=1,near<= 0.05,proj_stholes,STHoles-init,605,1.1676408646818048,1.2008303631886383,7.079353066939594,0.4743801652892562,0.0
q=1,near<= 0.05,quicksel_no_proj,QuickSel-H (raw),605,1.1973955666803044,1.2227360075861473,4.7114793117208125,0.3685950413223141,0.0
q=1,near<= 0.05,proj_quicksel,QuickSel-init,605,1.186292463477009,1.217284740661978,5.595062238476215,0.41983471074380163,0.0
q=10,far> 0.15,stale,Stale,135,4.4293354722483,8.324112096106303,0.0,0.18518518518518517,0.0
q=10,far> 0.15,proj_stale,ISOMER/ISOMER,135,1.7887618573141344,2.214834175454751,59.61557058566685,0.0,1.0
q=10,far> 0.15,oasis_no_proj,OASIS-noProj,135,1.9544026946681317,2.6806309961227375,55.87593879683964,0.4444444444444444,0.0
q=10,far> 0.15,proj_oasis,OASIS,135,1.5042082796057759,1.5985487833404444,66.03986559540837,0.562962962962963,0.0
q=10,far> 0.15,proj_fresh,Fresh-init,135,1.1615633226089963,1.1681026897294893,73.77567515744309,0.8296296296296296,0.0
q=10,far> 0.15,fresh,Fresh,135,1.0,1.0,77.42324991490412,1.0,0.0
q=10,far> 0.15,stholes_no_proj,STHoles (raw),135,2.1493453966590907,3.376306222595489,51.47476613307644,0.362962962962963,0.0
q=10,far> 0.15,proj_stholes,STHoles-init,135,1.838879867874489,2.520572370791654,58.48406878648353,0.4888888888888889,0.0
q=10,far> 0.15,quicksel_no_proj,QuickSel-H (raw),135,1.6606692793493705,1.8491364445709697,62.507484706132985,0.5777777777777777,0.0
q=10,far> 0.15,proj_quicksel,QuickSel-init,135,1.384179614663369,1.434999864103031,68.74972276686081,0.8444444444444444,0.0
q=10,mid<= 0.15,stale,Stale,347,3.2285427665962185,5.694853167129956,0.0,0.2219020172910663,0.0
q=10,mid<= 0.15,proj_stale,ISOMER/ISOMER,347,1.467931807518983,1.5857766568441147,54.532681967022825,0.0,1.0
q=10,mid<= 0.15,oasis_no_proj,OASIS-noProj,347,1.5784536969931495,1.7673173971648923,51.10940721230469,0.42363112391930835,0.0
q=10,mid<= 0.15,proj_oasis,OASIS,347,1.3587900303294065,1.4167311500817892,57.91320950157495,0.5850144092219021,0.0
q=10,mid<= 0.15,proj_fresh,Fresh-init,347,1.1519715706259028,1.1768319708004547,64.31914786619349,0.7982708933717579,0.0
q=10,mid<= 0.15,fresh,Fresh,347,1.0,1.0,69.02627370012267,1.0,0.0
q=10,mid<= 0.15,stholes_no_proj,STHoles (raw),347,1.6749946207023059,2.2005675220871623,48.119175064599936,0.42363112391930835,0.0
q=10,mid<= 0.15,proj_stholes,STHoles-init,347,1.4384503036584424,1.663128223665097,55.44583399850798,0.6570605187319885,0.0
q=10,mid<= 0.15,quicksel_no_proj,QuickSel-H (raw),347,1.7250419448551422,1.9329366167414168,46.56902294424875,0.3861671469740634,0.0
q=10,mid<= 0.15,proj_quicksel,QuickSel-init,347,1.4329339219052342,1.5244842908567828,55.61669689709748,0.5878962536023055,0.0
q=10,near<= 0.05,stale,Stale,542,3.2406716410375966,4.859110443348839,0.0,0.13837638376383765,0.0
q=10,near<= 0.05,proj_stale,ISOMER/ISOMER,542,1.515530000060719,1.690627799641682,53.2340771317554,0.0,1.0
q=10,near<= 0.05,oasis_no_proj,OASIS-noProj,542,1.5074684594539993,1.6359002301174,53.48283854604476,0.42988929889298894,0.0
q=10,near<= 0.05,proj_oasis,OASIS,542,1.3779403069247997,1.4591527654996332,57.47979247648763,0.6088560885608856,0.0
q=10,near<= 0.05,proj_fresh,Fresh-init,542,1.2087245199183005,1.2551971962359225,62.701419526376576,0.7693726937269373,0.0
q=10,near<= 0.05,fresh,Fresh,542,1.0,1.0,69.1421991868383,1.0,0.0
q=10,near<= 0.05,stholes_no_proj,STHoles (raw),542,1.6964318979218636,2.0317709822705288,47.651842400833274,0.32656826568265684,0.0
q=10,near<= 0.05,proj_stholes,STHoles-init,542,1.4812603643336968,1.6996366074768592,54.29156272495946,0.6254612546125461,0.0
