q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
1,stale,Stale,1024,1.227071996201937,1.2785276001583823,0.0,0.3076171875,0.0
1,proj_stale,ISOMER/ISOMER,1024,1.1436540185675204,1.1660888840919856,6.798132293183608,0.0,1.0
1,oasis_no_proj,OASIS-noProj,1024,1.2451524704261587,1.2905591171992075,-1.4734648235951018,0.2919921875,0.0
1,proj_oasis,OASIS,1024,1.1911919897521592,1.2262922907642544,2.9240343322017295,0.439453125,0.0
1,proj_fresh,Fresh-init,1024,1.1160224020379979,1.1334186639621655,9.049965650561868,0.556640625,0.0
1,fresh,Fresh,1024,1.0,1.0,18.505189337282225,1.0,0.0
1,stholes_no_proj,STHoles (raw),1024,1.1331920039532026,1.1507477784805848,7.650732193328016,0.4873046875,0.0
1,proj_stholes,STHoles-init,1024,1.1505822739957374,1.177784157503683,6.2335154288381105,0.49609375,0.0
1,quicksel_no_proj,QuickSel-H (raw),1024,1.1845086442446775,1.2086279825068307,3.468692308927478,0.3828125,0.0
1,proj_quicksel,QuickSel-init,1024,1.1649603723522786,1.189720554480288,5.061775025581857,0.4423828125,0.0
3,stale,Stale,1024,1.4942659316993292,1.7152891934818715,0.0,0.3515625,0.0
3,proj_stale,ISOMER/ISOMER,1024,1.2975395824184208,1.397015693133495,13.165417554369629,0.0,1.0
3,oasis_no_proj,OASIS-noProj,1024,1.3077787170426654,1.397914664285288,12.480189148432524,0.4970703125,0.0
3,proj_oasis,OASIS,1024,1.25656438285203,1.3248153160448213,15.90758002338827,0.6015625,0.0
3,proj_fresh,Fresh-init,1024,1.134868212509736,1.1654868930220816,24.051791020951274,0.822265625,0.0
3,fresh,Fresh,1024,1.0,1.0,33.0775079063225,1.0,0.0
3,stholes_no_proj,STHoles (raw),1024,1.3030693963155597,1.3689830414437654,12.795348627558841,0.4677734375,0.0
3,proj_stholes,STHoles-init,1024,1.290114687614803,1.3684055448956693,13.662310018161126,0.564453125,0.0
3,quicksel_no_proj,QuickSel-H (raw),1024,1.346313143144922,1.4230128575268766,9.901369322269854,0.4365234375,0.0
